2022-12-07 07:54:27,320 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-04 00:00:29')'
2022-12-07 07:54:31,927 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-05 00:00:29')'
2022-12-07 07:54:36,286 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-06 00:00:29')'
2022-12-07 07:54:47,612 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-07 00:00:29')'
2022-12-07 07:54:52,319 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-08 00:00:29')'
2022-12-07 08:23:11,421 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:20:29')
2022-12-07 08:23:11,640 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:20:29')'
2022-12-07 08:23:19,994 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:20:29')'
2022-12-07 08:23:20,386 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:20:29')
2022-12-07 08:28:09,698 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-21')'
2022-12-07 08:29:48,128 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-09')'
2022-12-07 08:31:13,254 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:30:29')'
2022-12-07 08:31:13,620 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:30:29')
2022-12-07 08:31:48,256 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:30:29')'
2022-12-07 08:31:48,790 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:30:29')
2022-12-07 08:36:11,929 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-22')'
2022-12-07 08:36:31,140 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:35:29')'
2022-12-07 08:36:31,572 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:35:29')
2022-12-07 08:36:33,833 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:35:29')
2022-12-07 08:36:34,005 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:35:29')'
2022-12-07 08:36:35,919 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:35:29')
2022-12-07 08:36:36,088 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:35:29')'
2022-12-07 08:38:28,321 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:35:29')'
2022-12-07 08:38:28,667 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:35:29')
2022-12-07 08:46:47,113 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:45:29')'
2022-12-07 08:46:47,455 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:45:29')
2022-12-07 08:49:11,061 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:45:29')'
2022-12-07 08:49:11,458 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:45:29')
2022-12-07 08:49:11,642 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 17:45:29')'
2022-12-07 11:35:44,538 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:35:29')'
2022-12-07 11:35:44,884 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:35:29')
2022-12-07 11:35:45,082 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:35:29')'
