2022-12-02 05:55:33,714 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:55')'
2022-12-02 06:00:39,386 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 15:00')'
2022-12-02 06:05:43,910 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 15:05')'
2022-12-02 06:10:48,967 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 15:10')'
2022-12-02 06:15:54,074 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 15:15')'
2022-12-02 06:21:00,934 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 15:20')'
2022-12-02 06:26:04,764 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 15:25')'
2022-12-02 06:31:09,428 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 15:30')'
2022-12-02 08:05:05,666 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:00:29')'
2022-12-02 08:05:27,231 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:00:29')'
2022-12-02 08:05:27,250 | UposService | INFO | succeed to do 'GetAHUConfiguration()'
2022-12-02 08:05:27,269 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 08:10:54,358 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:10:29')'
2022-12-02 08:11:16,265 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:10:29')'
2022-12-02 08:16:03,637 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:15')'
2022-12-02 08:21:09,151 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:20')'
2022-12-02 08:26:14,324 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:25')'
2022-12-02 08:31:18,915 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:30')'
2022-12-02 08:36:23,894 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:35')'
2022-12-02 08:40:27,995 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:40')'
2022-12-02 08:45:32,620 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:45')'
2022-12-02 08:50:37,687 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:50')'
2022-12-02 08:56:03,838 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 17:55')'
2022-12-02 09:00:48,765 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:00')'
2022-12-02 09:05:52,937 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:05')'
2022-12-02 09:10:57,475 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:10')'
2022-12-02 09:16:02,609 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:15')'
2022-12-02 09:21:07,745 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:20')'
2022-12-02 09:26:12,539 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:25')'
2022-12-02 09:31:17,461 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:30')'
2022-12-02 09:36:22,998 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:35')'
2022-12-02 09:40:26,730 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:40')'
2022-12-02 09:45:31,852 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:45')'
2022-12-02 09:50:37,255 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:50')'
2022-12-02 09:55:43,320 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 18:55')'
2022-12-02 10:00:46,599 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:00')'
2022-12-02 10:05:51,944 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:05')'
2022-12-02 10:10:57,908 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:10')'
2022-12-02 10:16:01,760 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:15')'
2022-12-02 10:21:06,853 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:20')'
2022-12-02 10:26:12,082 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:25')'
2022-12-02 10:31:17,044 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:30')'
2022-12-02 10:36:21,682 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:35')'
2022-12-02 10:40:26,042 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:40')'
2022-12-02 10:45:30,639 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:45')'
2022-12-02 10:50:35,698 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:50')'
2022-12-02 10:55:40,845 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 19:55')'
2022-12-02 11:00:45,710 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 20:00')'
2022-12-02 11:05:50,771 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 20:05')'
2022-12-02 11:10:55,766 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 20:10')'
2022-12-02 11:16:01,486 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 20:15')'
2022-12-02 11:21:05,669 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 20:20')'
2022-12-02 11:26:11,173 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 20:25')'
