2022-12-08 05:46:15,929 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:45:29')'
2022-12-08 05:47:06,897 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:45:29')'
2022-12-08 05:47:07,088 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:45:29')'
2022-12-08 05:47:07,434 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:45:29')
2022-12-08 05:47:07,617 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:45:29')'
2022-12-08 05:49:00,476 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:45:29')
2022-12-08 05:49:00,645 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:45:29')'
2022-12-08 05:49:00,804 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:45:29')'
2022-12-08 05:49:00,996 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:45:29')'
2022-12-08 05:49:47,463 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:45:29')'
2022-12-08 05:49:47,889 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:45:29')
2022-12-08 05:49:48,080 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:45:29')'
2022-12-08 05:49:48,269 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:45:29')'
2022-12-08 05:49:52,080 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:45:29')'
2022-12-08 05:49:52,328 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:45:29')'
2022-12-08 05:49:52,491 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:45:29')'
2022-12-08 05:49:52,812 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:45:29')
2022-12-08 05:50:52,332 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:50:29')'
2022-12-08 05:50:52,517 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:50:29')'
2022-12-08 05:50:52,889 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:50:29')
2022-12-08 05:50:53,109 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:50:29')'
2022-12-08 06:00:50,336 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:00:29')'
2022-12-08 06:00:50,580 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:00:29')'
2022-12-08 06:00:50,916 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:00:29')
2022-12-08 06:00:51,083 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:00:29')'
2022-12-08 06:01:46,052 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:00:29')'
2022-12-08 06:01:46,370 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:00:29')
2022-12-08 06:01:46,532 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:00:29')'
2022-12-08 06:01:46,725 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:00:29')'
2022-12-08 06:40:58,201 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:40:29')
2022-12-08 06:40:58,371 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:40:29')'
2022-12-08 06:40:58,543 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:40:29')'
2022-12-08 06:40:58,724 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:40:29')'
2022-12-08 06:46:45,277 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:45:29')'
2022-12-08 06:46:45,609 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:45:29')
2022-12-08 06:46:45,774 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:45:29')'
2022-12-08 06:46:45,953 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:45:29')'
2022-12-08 06:50:38,204 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:50:29')'
2022-12-08 06:50:38,528 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:50:29')
2022-12-08 06:50:38,693 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:50:29')'
2022-12-08 06:50:38,889 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:50:29')'
2022-12-08 06:52:53,405 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:50:29')'
2022-12-08 06:52:53,584 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:50:29')'
2022-12-08 06:52:53,774 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:50:29')'
2022-12-08 06:52:54,109 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:50:29')
